trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-86.42760175526521,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-139.39160139816377,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-135.87723900167606,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-104.87376802403813,"{0: 24, 1: 0, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,2,-57.50657893793737,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-190.9254838048624,"{0: 18, 1: 1, 2: 8, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-116.61413589787088,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-33.55660854265881,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-7.904038846009251,"{0: 25, 1: 3, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-93.39647410897297,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-32.978573571397504,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,7,8.856403710499027,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,18,-28.38983777661351,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-87.54570365805039,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-39.785863494885255,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,6,-112.14190897717158,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,15,-30.59881706071207,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,3,-30.36057016177664,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,12,18.11898697593216,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,2,-30.621478357446648,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 1}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,10,17.950032328641463,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,2,10.695781001102084,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,14,10.576956328051,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,6,-32.24003149536984,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,9,4.9843552838839775,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,0,14.744966055909499,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,23.566869309220625,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,7.352640037583144,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-2.1402071794537827,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",30,24,11.275547608922583,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
