trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 1.0}",25,0,-123.37319686651456,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.4, 'e': 0.9210609940028851}",20,0,-142.44435706572997,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
3,False,"{'a': 0.4, 'e': 0.6967067093471654}",20,4,-69.03243376327501,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 1}",1
4,False,"{'a': 0.4, 'e': 0.3623577544766734}",20,0,-85.31195829025022,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
5,False,"{'a': 0.4, 'e': 0.029199522301288815}",20,6,9.925967038667318,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.4, 'e': 0.4161468365471424}",20,0,-84.56521081581576,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.4, 'e': 0.7373937155412458}",30,0,-94.76103215098722,"{0: 24, 1: 2, 2: 1, 3: 1, 4: 2}",0
8,False,"{'a': 0.4, 'e': 0.9422223406686583}",25,0,-212.08507161085709,"{0: 12, 1: 1, 2: 8, 3: 1, 4: 3}",0
9,False,"{'a': 0.4, 'e': 0.9982947757947531}",20,0,-116.68036970197682,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
10,False,"{'a': 0.4, 'e': 0.896758416334147}",30,0,-285.119993617235,"{0: 13, 1: 5, 2: 6, 3: 1, 4: 5}",0
11,False,"{'a': 0.4, 'e': 0.6536436208636119}",20,0,-44.007269523686254,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
12,False,"{'a': 0.4, 'e': 0.30733286997841935}",20,3,-6.848835840796579,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.4, 'e': 0.08749898343944727}",20,0,0.6243678898958034,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.4, 'e': 0.4685166713003771}",25,0,-61.907532229203994,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.4, 'e': 0.7755658785102502}",30,0,-71.00864222654275,"{0: 17, 1: 7, 2: 6, 3: 0, 4: 0}",0
16,False,"{'a': 0.4, 'e': 0.960170286650366}",25,12,4.8882644122481915,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.4, 'e': 0.9931849187581926}",30,0,-101.41301945534579,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
18,False,"{'a': 0.4, 'e': 0.8693974903498248}",25,0,-136.58779786160218,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.4, 'e': 0.6083513145322546}",20,0,-70.73453526384868,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.4, 'e': 0.25125984258225487}",25,17,2.746185961048119,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.4, 'e': 0.14550003380861354}",30,3,-55.82421589268023,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 2}",1
22,False,"{'a': 0.4, 'e': 0.5192886541166856}",20,0,-27.1336298927751,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
23,False,"{'a': 0.4, 'e': 0.811093014061656}",25,0,-50.65506234989272,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
24,False,"{'a': 0.4, 'e': 0.974843621404164}",35,0,-195.50663133816212,"{0: 22, 1: 2, 2: 7, 3: 1, 4: 3}",0
25,False,"{'a': 0.4, 'e': 0.9846878557941267}",20,0,-46.66050878465639,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
26,False,"{'a': 0.4, 'e': 0.8390715290764524}",20,8,-29.75121316173582,"{0: 8, 1: 2, 2: 1, 3: 1, 4: 0}",1
