trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.83681846191381,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-168.52767079286104,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.15459009578487,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.08664634699491,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-162.87122412641872,"{0: 15, 1: 0, 2: 6, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.87263043575089,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-217.54871935298377,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.6580124494936,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-308.16963385957933,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 6}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-166.8366300012046,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.59090095812762,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.44665898548185,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-67.79805794464572,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-357.109426049835,"{0: 11, 1: 2, 2: 2, 3: 3, 4: 7}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.57739958977444,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-140.87931291815516,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-140.67518438170742,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.20256857541887,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.52645987752211,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-214.22086004873702,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",35,0,-248.52551081687756,"{0: 18, 1: 3, 2: 10, 3: 0, 4: 4}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-168.62409215365577,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-128.7367351868958,"{0: 7, 1: 7, 2: 4, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-183.728189432408,"{0: 15, 1: 4, 2: 2, 3: 0, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-86.68504231923039,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-92.89437883108349,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-156.46041257476244,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-205.762755149371,"{0: 10, 1: 4, 2: 6, 3: 3, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-84.8506652173609,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-97.49378053758504,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
