trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",25,0,-101.37074109205379,"{0: 14, 1: 4, 2: 4, 3: 3, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-78.2572941736749,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",30,0,-163.39412930875812,"{0: 15, 1: 7, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",35,0,-242.37249914597425,"{0: 18, 1: 7, 2: 6, 3: 0, 4: 4}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-182.9466894373387,"{0: 8, 1: 5, 2: 3, 3: 1, 4: 3}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-113.20688050163402,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",25,0,-107.39936240006037,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",30,0,-174.58836600447125,"{0: 17, 1: 1, 2: 9, 3: 1, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-153.84195327913898,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",30,0,-138.61526333187663,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,0,-118.14726231155063,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-50.07690647814833,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-130.52119814167244,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",25,0,-164.17608491153595,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,0,-82.37947344421046,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",1
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,0,-180.66025956050473,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,0,-98.9115789619642,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",25,0,-64.92046580535653,"{0: 19, 1: 1, 2: 2, 3: 3, 4: 0}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,0,-96.27130447423347,"{0: 9, 1: 4, 2: 5, 3: 2, 4: 0}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",25,0,-135.80736845170034,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,0,-154.23713944163586,"{0: 11, 1: 3, 2: 1, 3: 3, 4: 2}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",25,0,-126.69157494461484,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",25,0,-87.67583076293057,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",25,0,-144.33686273092565,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",20,0,-184.19826295507602,"{0: 8, 1: 2, 2: 6, 3: 2, 4: 2}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,0,-75.94787381718874,"{0: 15, 1: 2, 2: 0, 3: 2, 4: 1}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",20,0,-117.72539554415239,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",30,0,-209.0002540256022,"{0: 14, 1: 5, 2: 6, 3: 3, 4: 2}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",20,0,-67.48887086439872,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",20,0,-119.34416783485372,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",20,0,-66.23503698216867,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",20,0,-96.81730780770178,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",25,2,-151.29246073024598,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 2}",1
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",20,0,-146.1895581392338,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",35,0,-128.02502759673592,"{0: 22, 1: 3, 2: 8, 3: 1, 4: 1}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",20,0,-76.19461458470316,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",30,0,-197.26274624473078,"{0: 15, 1: 4, 2: 6, 3: 3, 4: 2}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",30,0,-68.11887882700344,"{0: 19, 1: 4, 2: 7, 3: 0, 4: 0}",0
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",20,0,-85.86754955321419,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",25,0,-200.21433739017712,"{0: 14, 1: 4, 2: 2, 3: 1, 4: 4}",0
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",25,6,-178.53755926309339,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 4}",1
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,0,-90.98815005372653,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",20,0,-72.89847107944665,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
